0.512000000,New Point
2.218666667,New Point
3.861333333,New Point
7.168000000,New Point
8.853333333,New Point
10.560000000,New Point
12.181333333,New Point
13.866666667,New Point
15.616000000,New Point
17.280000000,New Point
18.880000000,New Point
20.565333333,New Point
22.272000000,New Point
23.978666667,New Point
25.600000000,New Point
27.264000000,New Point
34.048000000,New Point
37.312000000,New Point
40.554666667,New Point
43.925333333,New Point
47.296000000,New Point
50.581333333,New Point
53.909333333,New Point
57.258666667,New Point
60.650666667,New Point
67.072000000,New Point
68.928000000,New Point
70.506666667,New Point
73.877333333,New Point
75.584000000,New Point
77.120000000,New Point
78.848000000,New Point
80.554666667,New Point
82.282666667,New Point
83.861333333,New Point
87.232000000,New Point
88.810666667,New Point
90.602666667,New Point
92.245333333,New Point
93.930666667,New Point
100.522666667,New Point
103.914666667,New Point
107.264000000,New Point
110.549333333,New Point
113.920000000,New Point
117.205333333,New Point
120.576000000,New Point
123.861333333,New Point
127.168000000,New Point
130.688000000,New Point
132.245333333,New Point
133.930666667,New Point
135.552000000,New Point
137.301333333,New Point
140.565333333,New Point
148.949333333,New Point
152.298666667,New Point
155.626666667,New Point
158.912000000,New Point
162.240000000,New Point
165.504000000,New Point
168.853333333,New Point
172.245333333,New Point
175.658666667,New Point
182.293333333,New Point
184.064000000,New Point
185.664000000,New Point
188.842666667,New Point
190.613333333,New Point
192.384000000,New Point
193.984000000,New Point
