0.626938776,New Point
2.623854875,New Point
4.574331066,New Point
6.362267574,New Point
8.243083900,New Point
10.263219955,New Point
12.236916100,New Point
14.140952381,New Point
16.114648526,New Point
18.181224490,New Point
20.085260771,New Point
22.035736961,New Point
23.986213152,New Point
25.890249433,New Point
27.817505669,New Point
29.767981859,New Point
31.695238095,New Point
33.715374150,New Point
35.619410431,New Point
39.427482993,New Point
41.470839002,New Point
43.351655329,New Point
45.441451247,New Point
47.345487528,New Point
49.226303855,New Point
51.246439909,New Point
52.128798186,New Point
53.104036281,New Point
55.100952381,New Point
57.004988662,New Point
58.955464853,New Point
62.856417234,New Point
64.737233560,New Point
66.710929705,New Point
68.707845805,New Point
70.565442177,New Point
72.585578231,New Point
74.489614512,New Point
76.393650794,New Point
78.390566893,New Point
80.387482993,New Point
82.291519274,New Point
84.218775510,New Point
86.169251701,New Point
88.166167800,New Point
90.046984127,New Point
91.997460317,New Point
93.971156463,New Point
95.921632653,New Point
97.918548753,New Point
101.819501134,New Point
103.839637188,New Point
105.650793651,New Point
107.647709751,New Point
109.598185941,New Point
111.502222222,New Point
113.499138322,New Point
114.451156463,New Point
115.426394558,New Point
117.400090703,New Point
119.257687075,New Point
121.277823129,New Point
125.178775510,New Point
127.198911565,New Point
129.062312925,New Point
132.963265306,New Point
134.931156463,New Point
136.759727891,New Point
140.712925170,New Point
142.628571429,New Point
144.579047619,New Point
146.599183673,New Point
148.462585034,New Point
149.402993197,New Point
150.343401361,New Point
152.346122449,New Point
154.331428571,New Point
156.351564626,New Point
160.182857143,New Point
162.150748299,New Point
164.083809524,New Point
165.163537415,New Point
166.051700680,New Point
168.002176871,New Point
169.882993197,New Point
171.885714286,New Point
175.786666667,New Point
177.789387755,New Point
179.705034014,New Point
181.638095238,New Point
183.588571429,New Point
185.451972789,New Point
187.367619048,New Point
189.283265306,New Point
192.644353741,New Point
