0.417959184,New Point
3.529433107,New Point
6.594467120,New Point
9.613061224,New Point
12.724535147,New Point
15.789569161,New Point
17.368526077,New Point
18.924263039,New Point
20.526439909,New Point
21.942857143,New Point
25.054331066,New Point
28.142585034,New Point
31.207619048,New Point
34.295873016,New Point
37.337687075,New Point
40.495600907,New Point
41.958458050,New Point
43.583854875,New Point
45.116371882,New Point
46.625668934,New Point
49.644263039,New Point
51.223219955,New Point
52.732517007,New Point
54.241814059,New Point
55.890430839,New Point
57.353287982,New Point
58.885804989,New Point
62.020498866,New Point
65.085532880,New Point
66.641269841,New Point
68.173786848,New Point
69.706303855,New Point
71.285260771,New Point
72.771337868,New Point
74.327074830,New Point
75.836371882,New Point
77.415328798,New Point
78.971065760,New Point
80.550022676,New Point
82.036099773,New Point
83.545396825,New Point
85.077913832,New Point
86.633650794,New Point
89.791564626,New Point
92.810158730,New Point
94.319455782,New Point
95.898412698,New Point
98.917006803,New Point
100.403083900,New Point
101.912380952,New Point
103.514557823,New Point
105.139954649,New Point
106.672471655,New Point
108.181768707,New Point
111.177142857,New Point
114.358276644,New Point
115.867573696,New Point
117.469750567,New Point
118.955827664,New Point
120.604444444,New Point
121.974421769,New Point
123.599818594,New Point
125.085895692,New Point
126.688072562,New Point
128.220589569,New Point
129.776326531,New Point
131.308843537,New Point
132.818140590,New Point
134.420317460,New Point
135.883174603,New Point
138.948208617,New Point
142.059682540,New Point
143.522539683,New Point
145.217596372,New Point
148.236190476,New Point
149.768707483,New Point
151.254784580,New Point
152.833741497,New Point
154.343038549,New Point
155.945215420,New Point
157.431292517,New Point
158.917369615,New Point
160.496326531,New Point
162.028843537,New Point
163.607800454,New Point
165.093877551,New Point
166.649614512,New Point
168.182131519,New Point
169.714648526,New Point
171.223945578,New Point
172.779682540,New Point
174.358639456,New Point
175.867936508,New Point
177.446893424,New Point
178.932970522,New Point
180.442267574,New Point
181.998004535,New Point
185.109478458,New Point
188.151292517,New Point
189.916009070,New Point
192.493424036,New Point
