0.371519274,New Point
3.715192744,New Point
6.989206349,New Point
10.170340136,New Point
13.514013605,New Point
16.718367347,New Point
19.853061224,New Point
23.219954649,New Point
26.447528345,New Point
29.675102041,New Point
32.879455782,New Point
36.269569161,New Point
42.585396825,New Point
45.929070295,New Point
49.086984127,New Point
52.384217687,New Point
55.518911565,New Point
58.839365079,New Point
62.020498866,New Point
65.387392290,New Point
71.819319728,New Point
75.046893424,New Point
78.320907029,New Point
79.946303855,New Point
81.548480726,New Point
84.822494331,New Point
86.401451247,New Point
88.096507937,New Point
89.675464853,New Point
91.277641723,New Point
94.574875283,New Point
97.802448980,New Point
101.076462585,New Point
104.187936508,New Point
107.508390023,New Point
110.735963719,New Point
114.033197279,New Point
117.400090703,New Point
120.349024943,New Point
123.669478458,New Point
124.923356009,New Point
127.036371882,New Point
130.194285714,New Point
131.448163265,New Point
133.537959184,New Point
136.695873016,New Point
140.016326531,New Point
143.197460317,New Point
146.425034014,New Point
152.903401361,New Point
156.247074830,New Point
159.428208617,New Point
161.053605442,New Point
162.679002268,New Point
165.836916100,New Point
167.578412698,New Point
169.227029478,New Point
170.759546485,New Point
172.361723356,New Point
175.705396825,New Point
178.886530612,New Point
182.137324263,New Point
185.364897959,New Point
187.013514739,New Point
188.638911565,New Point
191.982585034,New Point
193.515102041,New Point
195.233378685,New Point
196.742675737,New Point
198.368072562,New Point
201.618866213,New Point
204.846439909,New Point
208.074013605,New Point
211.278367347,New Point
212.857324263,New Point
214.552380952,New Point
217.687074830,New Point
219.405351474,New Point
221.030748299,New Point
222.632925170,New Point
224.304761905,New Point
227.555555556,New Point
230.806349206,New Point
233.987482993,New Point
237.238276644,New Point
240.465850340,New Point
245.434920635,New Point
