0.626938776,New Point
2.484535147,New Point
4.388571429,New Point
8.219863946,New Point
10.216780045,New Point
12.167256236,New Point
15.905668934,New Point
17.925804989,New Point
19.760181406,New Point
23.568253968,New Point
25.518730159,New Point
27.422766440,New Point
31.230839002,New Point
33.227755102,New Point
35.085351474,New Point
38.939863946,New Point
40.820680272,New Point
42.724716553,New Point
46.556009070,New Point
48.506485261,New Point
50.503401361,New Point
54.265034014,New Point
56.261950113,New Point
58.165986395,New Point
61.997278912,New Point
63.808435374,New Point
65.712471655,New Point
69.845623583,New Point
71.424580499,New Point
73.328616780,New Point
77.252789116,New Point
81.060861678,New Point
82.964897959,New Point
84.845714286,New Point
86.819410431,New Point
88.700226757,New Point
90.581043084,New Point
92.554739229,New Point
96.362811791,New Point
98.266848073,New Point
100.170884354,New Point
102.237460317,New Point
104.002176871,New Point
105.929433107,New Point
107.856689342,New Point
109.783945578,New Point
111.734421769,New Point
115.496054422,New Point
117.446530612,New Point
119.350566893,New Point
123.181859410,New Point
125.062675737,New Point
126.966712018,New Point
130.821224490,New Point
132.725260771,New Point
134.652517007,New Point
138.460589569,New Point
140.411065760,New Point
142.338321995,New Point
146.169614512,New Point
148.050430839,New Point
149.931247166,New Point
153.832199546,New Point
157.663492063,New Point
159.567528345,New Point
161.494784580,New Point
163.398820862,New Point
165.465396825,New Point
167.183673469,New Point
169.157369615,New Point
173.035102041,New Point
174.869478458,New Point
176.750294785,New Point
178.723990930,New Point
180.628027211,New Point
182.578503401,New Point
184.459319728,New Point
186.340136054,New Point
188.290612245,New Point
192.075464853,New Point
194.095600907,New Point
195.953197279,New Point
200.527528345,New Point
204.591020408,New Point
206.657596372,New Point
208.399092971,New Point
210.372789116,New Point
212.253605442,New Point
214.134421769,New Point
216.084897959,New Point
219.892970522,New Point
221.820226757,New Point
223.701043084,New Point
225.628299320,New Point
227.509115646,New Point
229.436371882,New Point
231.363628118,New Point
233.314104308,New Point
235.218140590,New Point
239.026213152,New Point
241.023129252,New Point
242.811065760,New Point
246.712018141,New Point
248.569614512,New Point
250.589750567,New Point
