1.555736961,New Point
3.506213152,New Point
4.411791383,New Point
5.433469388,New Point
6.455147392,New Point
7.291065760,New Point
9.241541950,New Point
11.215238095,New Point
12.097596372,New Point
13.119274376,New Point
16.904126984,New Point
20.758639456,New Point
22.685895692,New Point
24.566712018,New Point
25.565170068,New Point
26.540408163,New Point
28.467664399,New Point
30.371700680,New Point
32.298956916,New Point
33.250975057,New Point
34.226213152,New Point
36.037369615,New Point
38.034285714,New Point
40.031201814,New Point
40.960000000,New Point
41.912018141,New Point
43.792834467,New Point
45.720090703,New Point
47.624126984,New Point
48.599365079,New Point
49.551383220,New Point
51.432199546,New Point
53.382675737,New Point
55.240272109,New Point
57.237188209,New Point
59.164444444,New Point
62.995736961,New Point
66.827029478,New Point
68.777505669,New Point
70.635102041,New Point
72.469478458,New Point
73.421496599,New Point
74.466394558,New Point
76.486530612,New Point
78.367346939,New Point
80.294603175,New Point
82.152199546,New Point
84.102675737,New Point
86.006712018,New Point
87.933968254,New Point
88.746666667,New Point
89.861224490,New Point
91.788480726,New Point
93.738956916,New Point
95.550113379,New Point
97.500589569,New Point
99.451065760,New Point
100.324716553,New Point
101.424761905,New Point
102.353560091,New Point
103.259138322,New Point
105.232834467,New Point
107.090430839,New Point
108.088888889,New Point
109.087346939,New Point
111.037823129,New Point
112.895419501,New Point
114.799455782,New Point
116.749931973,New Point
118.653968254,New Point
120.558004535,New Point
122.485260771,New Point
126.316553288,New Point
130.217505669,New Point
132.051882086,New Point
134.095238095,New Point
135.883174603,New Point
136.765532880,New Point
137.903310658,New Point
139.830566893,New Point
141.734603175,New Point
143.708299320,New Point
145.519455782,New Point
147.516371882,New Point
149.397188209,New Point
151.208344671,New Point
152.206802721,New Point
153.205260771,New Point
155.132517007,New Point
157.082993197,New Point
158.987029478,New Point
160.914285714,New Point
164.768798186,New Point
168.553650794,New Point
170.550566893,New Point
172.384943311,New Point
176.285895692,New Point
180.117188209,New Point
183.948480726,New Point
185.806077098,New Point
187.802993197,New Point
189.776689342,New Point
190.612607710,New Point
191.634285714,New Point
193.584761905,New Point
195.488798186,New Point
197.416054422,New Point
199.320090703,New Point
201.224126984,New Point
203.151383220,New Point
205.125079365,New Point
205.984217687,New Point
206.959455782,New Point
208.933151927,New Point
210.883628118,New Point
212.741224490,New Point
216.595736961,New Point
218.522993197,New Point
219.428571429,New Point
220.427029478,New Point
221.379047619,New Point
222.354285714,New Point
224.235102041,New Point
226.092698413,New Point
226.951836735,New Point
227.903854875,New Point
230.016870748,New Point
232.408526077,New Point
